version_taxref	cd_ref_taxref	phylum_taxref	classe_taxref	ordre_taxref	famille_taxref	genre_taxref	nom_valide_taxref	nom_latin_taxref	nom_vern_taxref	habitat_taxref	libelle_indigenat_taxref	indigenat_regional	synthese_reglementations_protections	PROTECTION_NAT	BARC/OSPAR	BERN/BONN	COMMERCE	DO/DHFF	AUTRE_REGL	endemisme_national_taxref	complement_endemisme	statut_presence_regionale	rarete_regionale	presence_d24	presence_d33	presence_d40	presence_d47	presence_d64	presence_d19	presence_d23	presence_d87	presence_d16	presence_d17	presence_d79	presence_d86	enjeu_regional_conservation	statuts_biologiques_specifiques	resume_menace_metropole	categorie_lr_metropole	annee_lr_metropole	resume_menace_na	categorie_lr_aquitaine	annee_lr_aquitaine	categorie_lr_limousin	annee_lr_limousin	categorie_lr_poitou_charente	annee_lr_poitou_charente	determinante_aquitaine	determinante_pc	determinante_limousin	sensibilite_donnees
18.0	968	Chordata	Aves	Phoenicopteriformes	Podicipedidae	Podiceps	"Podiceps grisegena (Boddaert, 1783)"	"Podiceps grisegena"	"Grèbe jougris"	"Marin & Terrestre"	"Indigène ou indéterminé"	Indigène	"PN, RI, RN"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II), BONN (AEWA, Ann. II)"			"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Pr	"Non évaluée"	Pb	Pr	Pr	Pr	Pr	Occ	Occ	Occ	Ab	Pr	Ab	Occ	"Non évaluée"	H	Menacée	CR	2016	"Non évaluée"								"Sous conditions"		
18.0	3644	Chordata	Aves	Passeriformes	Alaudidae	Melanocorypha	"Melanocorypha calandra (Linnaeus, 1766)"	"Melanocorypha calandra"	"Alouette calandre"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RE, RI, RN"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"		"DO (Ann. I)"	"REGL_Interdépartementale (Art. 1)"		"Non endémique"	Occ	Exceptionnelle	Ab	Ab	Ab	Ab	Ab	Ab	Sa	Ab	Occ	Occ	Occ	Ab	Notable	MTEr	Menacée	EN	2016	"Non évaluée"										
18.0	3649	Chordata	Aves	Passeriformes	Alaudidae	Calandrella	"Calandrella brachydactyla (Leisler, 1814)"	"Calandrella brachydactyla"	"Alouette calandrelle"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RE, RI, RN"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"		"DO (Ann. I)"	"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Pr	"Très rare"	Occ	Pr	Occ	Occ	Occ	Occ	Sa	Occ	Da	Occ	Occ	Pr	Fort	NC	Menacée	EN	2016	Menacée					CR	2018		"Sous conditions"		
18.0	4121	Chordata	Aves	Passeriformes	Turdidae	Turdus	"Turdus ruficollis Pallas, 1776"	"Turdus ruficollis"	"Grive à gorge rousse, Grive à ailes rousses, Grive à gorge noire"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 4)"		"BERN (Ann. III)"					"Non endémique"	Occ	"Non évaluée"	Ab	Ab	Ab	Ab	Ab	Ab	Sa	Ab	Ab	Ab	Ab	Ab	"Non évaluée"	MTEr	"Non évaluée"			"Non évaluée"										
18.0	2398	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	"Dendrocygna bicolor (Vieillot, 1816)"	"Dendrocygna bicolor"	"Dendrocygne fauve"	"Continental (terrestre et eau douce)"	"Introduit non établi"	"Introduite non établie"	"PN, RE, RI, RN"	"PN_Oiseaux  (Art. 4)"		"BONN (AEWA, Ann. II)"	"COMMERCE_CITES (Ann. C)"		"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Acc	"Non évaluée"	Ab	Acc	Acc	Ab	Ab	Ab	Ab	Ab	Ab	Acc	Ab	Acc	"Non évaluée"	NA	"Non évaluée"			"Non évaluée"										
18.0	3656	Chordata	Aves	Passeriformes	Alaudidae	Galerida	"Galerida cristata (Linnaeus, 1758)"	"Galerida cristata"	"Cochevis huppé"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. III)"					"Non endémique"	Pr	Commune	Pr	Pr	Pr	Pr	Pr	Occ	Da	Occ	Pr	Pr	Pr	Pr	Notable	NC,H	"Non menacée"	LC	2016	"Non menacée"			RE	2015	LC	2018	"Sous conditions"			
18.0	3670	Chordata	Aves	Passeriformes	Alaudidae	Lullula	"Lullula arborea (Linnaeus, 1758)"	"Lullula arborea"	"Alouette lulu"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RE, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. III)"		"DO (Ann. I)"			"Non endémique"	Pr	"Très commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Notable	NC,H	"Non menacée"	LC	2016	Menacée			VU	2015	NT	2018	"Sous conditions"	"Sous conditions"		
18.0	3442	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	"Streptopelia orientalis (Latham, 1790)"	"Streptopelia orientalis"	"Tourterelle orientale"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 4)"		"BERN (Ann. III)"					"Non endémique"	Occ	"Non évaluée"	Ab	Ab	Ab	Occ	Ab	Ab	Ab	Ab	Ab	Ab	Sa	Ab	"Non évaluée"		"Non évaluée"			"Non évaluée"										
18.0	3688	Chordata	Aves	Passeriformes	Hirundinidae	Riparia	"Riparia riparia (Linnaeus, 1758)"	"Riparia riparia"	"Hirondelle de rivage"	"Continental (terrestre et eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI, RN"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"			"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Pr	"Assez commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Notable	NC,HO	"Non menacée"	LC	2016	Menacée			VU	2015	NT	2018		"Sous conditions"	"Sous conditions"	
18.0	3076	Chordata	Aves	Gruiformes	Gruidae	Grus	"Grus grus (Linnaeus, 1758)"	"Grus grus"	"Grue cendrée"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RE, RI, RN"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II), BONN (AEWA, Ann. II)"	"COMMERCE_CITES (Ann. A)"	"DO (Ann. I)"	"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Pr	"Non évaluée"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	"Non évaluée"	H	Menacée	CR	2016	"Non évaluée"							"Sous conditions"	"Sous conditions"		"Sous conditions"
18.0	3692	Chordata	Aves	Passeriformes	Hirundinidae	Ptyonoprogne	"Ptyonoprogne rupestris (Scopoli, 1769)"	"Ptyonoprogne rupestris"	"Hirondelle de rochers"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"					"Non endémique"	Pr	"Peu commune"	Pr	Occ	Occ	Pr	Pr	Pr	Pr	Pr	Occ	Occ	Ab	Ab	Notable	NC,H	"Non menacée"	LC	2016	Menacée			EN	2015					"Sous conditions"	
18.0	3696	Chordata	Aves	Passeriformes	Hirundinidae	Hirundo	"Hirundo rustica Linnaeus, 1758"	"Hirundo rustica"	"Hirondelle rustique, Hirondelle de cheminée"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RI, RN"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"			"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Pr	"Très commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Fort	NC,H	"Non menacée"	NT	2016	"Non menacée"			LC	2015	NT	2018				
